Date,Ticker,Open,High,Low,Close,Volume,Returns,Log_Returns
2022-07-14,SAB,63717.0,64550.0,63717.0,64508.0,22400,,0.0084219217388815
2022-07-15,SAB,64133.0,64258.0,63550.0,64133.0,38500,,-0.0058301950734774
2022-07-18,SAB,63842.0,64216.0,63800.0,64216.0,12000,,0.0012933487844838
2022-07-19,SAB,64341.0,65341.0,63800.0,65299.0,139000,,0.0167243214001687
2022-07-20,SAB,65591.0,66548.0,65299.0,66548.0,107200,,0.0189467695680519
2022-07-21,SAB,66632.0,69130.0,66632.0,68714.0,223300,,0.0320294712401489
2022-07-22,SAB,68298.0,69922.0,67048.0,69130.0,196400,,0.0060358269195282
2022-07-25,SAB,69130.0,69130.0,67881.0,68714.0,130900,,-0.0060358269195282
2022-07-26,SAB,67465.0,69963.0,67465.0,69838.0,165100,,0.016225311199351
2022-07-27,SAB,69880.0,69880.0,69047.0,69838.0,116700,,0.0
2022-07-28,SAB,70463.0,72879.0,70463.0,72046.0,233300,,0.031126529665327
2022-07-29,SAB,73045.0,76835.0,73045.0,74961.0,170300,,0.0396631743870994
2022-08-01,SAB,75794.0,76627.0,75086.0,76210.0,214600,,0.0165247093886032
2022-08-02,SAB,75794.0,78251.0,75794.0,78209.0,230100,,0.0258920427650158
2022-08-03,SAB,77459.0,79542.0,76960.0,79084.0,240200,,0.0111258482695922
2022-08-04,SAB,78292.0,79250.0,74961.0,77043.0,292700,,-0.0261468711709687
2022-08-05,SAB,75835.0,79125.0,75627.0,76044.0,219700,,-0.013051587412285
2022-08-08,SAB,76377.0,78292.0,74544.0,75377.0,147600,,-0.0088099314373676
2022-08-09,SAB,76627.0,76627.0,75044.0,75044.0,138800,,-0.004427580510648
2022-08-10,SAB,75794.0,75794.0,74461.0,75794.0,135400,,0.0099445256611626
2022-08-11,SAB,76127.0,76918.0,74961.0,75794.0,198700,,0.0
2022-08-12,SAB,75585.0,76002.0,75211.0,75794.0,109400,,0.0
2022-08-15,SAB,75794.0,77876.0,75419.0,77459.0,242900,,0.0217296302717707
2022-08-16,SAB,78042.0,78501.0,77501.0,78292.0,192800,,0.0106966625259795
2022-08-17,SAB,78292.0,78584.0,76627.0,78501.0,200800,,0.0026659369204499
2022-08-18,SAB,78459.0,82415.0,77501.0,80583.0,330000,,0.0261763455913575
2022-08-19,SAB,79583.0,81666.0,79583.0,81207.0,104300,,0.0077137411964979
2022-08-22,SAB,81374.0,81374.0,80041.0,80791.0,87800,,-0.0051358771640438
2022-08-23,SAB,80583.0,81207.0,79125.0,79125.0,89400,,-0.0208366927201989
2022-08-24,SAB,79125.0,80083.0,77668.0,77876.0,123100,,-0.0159110623476763
2022-08-25,SAB,77918.0,80291.0,77793.0,78084.0,61400,,0.0026673521841834
2022-08-26,SAB,78001.0,78501.0,76751.0,78292.0,91500,,0.0026602563394301
2022-08-29,SAB,76418.0,79084.0,76418.0,78292.0,106300,,0.0
2022-08-30,SAB,78501.0,78709.0,77793.0,78251.0,57400,,-0.0005238177489568
2022-08-31,SAB,78209.0,78459.0,77251.0,78251.0,126000,,0.0
2022-09-05,SAB,78251.0,78334.0,77501.0,78292.0,105900,,0.0005238177489568
2022-09-06,SAB,78292.0,79417.0,78209.0,78542.0,103500,,0.0031880869167124
2022-09-07,SAB,78542.0,78709.0,77168.0,78292.0,128400,,-0.0031880869167125
2022-09-08,SAB,78709.0,80416.0,78292.0,79833.0,168200,,0.0194915261685216
2022-09-09,SAB,80166.0,81416.0,79833.0,80708.0,226800,,0.0109007501436326
2022-09-12,SAB,80708.0,82374.0,80708.0,81207.0,228226,,0.0061637473961514
